i,t,Y,K,H,L,I
11,2010,101.545237,29.766574,80.96,91.39784111808665,8.26
11,2011,104.874211,32.980776,79.29,91.37729771620934,8.73
11,2012,108.914898,34.901819,77.62,92.06278041941428,9.97
11,2013,111.755827,34.736027,75.09,91.66172407104969,9.76
11,2014,113.490359,36.571543,81.53,93.25159979460791,11.34
11,2015,112.66553227,37.89208604,83.33,92.27466406776483,15.16
12,2010,331.085237,99.539597,72.69,91.99072731364629,9.68
12,2011,353.147591,105.474677,78.97,92.5335520140438,11.36
12,2012,375.924139,114.503156,80.81,93.56894436866915,13.27
12,2013,398.727143,120.436363,77.15,93.90535847942544,12.76
12,2014,419.573309,124.148573,82.96,94.05276092678264,14.4
12,2015,440.95585247,128.95221226,84.14,93.61053883699405,17.65
13,2010,105.017739,30.696805,72.82,92.42958218934315,12.19
13,2011,111.679493,34.097669,70,92.49484649803168,12.86
13,2012,118.724425,36.28081,72.53,93.50597654258455,15.41
13,2013,125.940634,37.957416,71,93.60674672572672,15.56
13,2014,133.340836,39.88315,80.46,93.67739347313423,17.45
13,2015,140.71947419,41.60941229,81.42,94.00696057929046,22.89
14,2010,388.578227,95.152513,67.94,92.79407147911007,11.12
14,2011,410.21584,110.722025,71.82,92.4888374235228,12.92
14,2012,425.625999,120.978856,68.73,94.71162929344244,14.5
14,2013,436.187507,127.338483,69.6,95.81025199239961,16.03
14,2014,447.986782,129.639728,76.33,95.00786279994216,18.51
14,2015,448.99196351999996,134.85026044999998,76.16,93.28284937461626,23.07
15,2010,90.618411,21.601723,63.21,95.5539877150732,8.35
15,2011,97.740874,21.57104,66.66,96.02249255569383,9.67
15,2012,104.615082,25.926188,65.8,96.30918400234681,11.57
15,2013,111.766131,28.266692,65.61,97.10628413119704,13.95
15,2014,119.991445,28.117165,73.63,97.49956856174725,15.48
15,2015,125.03739804000001,27.834648559999998,76.12,97.26799009936677,19.93
16,2010,194.012974,76.364639,60.87,93.44828948680875,9.2
16,2011,206.360699,80.495866,64.49,93.70539338529119,9.25
16,2012,220.459198,85.219895,69.73,94.39507812225747,10.87
16,2013,232.175048,89.260413,63.78,94.59316911740328,11.84
16,2014,243.297772,93.404414,72.51,96.1595798055661,14.02
16,2015,254.04487563,93.63815794,73.18,94.96699986211573,17.71
17,2010,28.352572,11.578477,68.83,95.93889619296418,9.25
17,2011,30.295054,12.596437,67.61,96.53947574914294,9.49
17,2012,32.363038,13.67463,67.42,97.81821073934712,12.09
17,2013,34.326372,14.819652,72.71,97.90083930537479,13.13
17,2014,36.207146,16.014028,79.49,98.37826224824641,15.06
17,2015,38.06600572,16.57290382,82.79,96.79143123763036,19.92
18,2010,150.560842,43.927327,57.81,94.04617791294673,6.31
18,2011,160.437501,49.058861,61.76,94.4817596102567,7.23
18,2012,170.769207,53.646824,62.03,94.78709487969881,8.97
18,2013,180.620008,55.690805,63.81,94.92585680831597,8.25
18,2014,189.797491,58.841761,68.49,94.91635261460749,9.85
18,2015,199.53691661000002,62.03581985,73.9,96.56440669284281,13.08
19,2010,35.561904,7.515722,60.59,95.76478620559418,9.43
19,2011,38.01399,8.147134,61.34,96.68529047396359,11.26
19,2012,40.104906,8.550062,59.69,97.17828952721946,11.72
19,2013,42.190857,8.97006,68.5,96.77963613913448,13.15
19,2014,44.15944,9.408028,75.51,97.32532376345763,14.52
19,2015,45.96230399,9.823532570000001,76.41,96.65080759847845,20.21
21,2010,111.223672,45.350313,79.63,92.79152415448297,15.81
21,2011,118.961423,48.421858,80.96,92.79996758620936,21.68
21,2012,128.034968,52.069671,74.38,94.29492617966874,27.73
21,2013,137.263851,55.515328,80.26,93.94660167285215,29.71
21,2014,146.325235,58.731612,81.36,94.73708991239133,30.41
21,2015,155.13135099000002,60.63795897,93.2,90.95241126459194,37.02
31,2010,1075.183481,491.537148,63.14,88.67623762397098,26.73
31,2011,1147.558226,533.589461,72.53,89.14147529321346,31.34
31,2012,1222.527925,585.571047,75.34,89.40445632354543,36.25
31,2013,1296.694573,618.800674,72.72,90.36059212678033,33.43
31,2014,1373.389129,637.777698,74.71,90.1635989297929,37.83
31,2015,1454.5638473800002,654.60515599,76.35,91.6389921913102,46.63
32,2010,906.68576,221.524237,51.37,89.42691654995272,12.91
32,2011,965.622061,245.323571,56.09,89.98583380922241,13.73
32,2012,1028.40974,271.070796,64.9,90.16355683381329,16.26
32,2013,1093.543546,268.318281,60.12,91.12365156975724,15.89
32,2014,1149.216057,287.38955,68.55,91.33950951394944,18.92
32,2015,1207.23234156,299.34263839,70.23,91.6001445944136,24.45
33,2010,623.224621,175.032483,61.61,93.14166287868417,8.86
33,2011,656.26813,187.096821,64.02,93.8191742204428,10.52
33,2012,691.343116,202.328211,67.03,94.0995646545505,13.49
33,2013,726.655118,211.220465,64.02,94.46594402787724,14.09
33,2014,764.959151,220.772866,73.55,94.55056916411833,15.87
33,2015,806.76509217,232.33520213999998,82.15,94.69394852859418,20.13
34,2010,64.678968,17.470045,79.29,93.98304810068777,21.08
34,2011,68.049874,18.245345,86.51,94.4570147214163,22.52
34,2012,71.702449,19.20789,83.02,96.02029719432255,25.12
34,2013,75.62745,20.19081,90.04,96.24537024465397,26.46
34,2014,79.536082,21.358622,94.62,97.83638710489863,29.7
34,2015,83.47445155,22.28661456,82.64,95.9270380538397,34.98
35,2010,990.648844,272.954029,67.06,95.09321652154897,8.97
35,2011,1054.401774,289.641724,63.58,95.76118155428088,10.65
35,2012,1124.46464,314.921953,67.25,95.83943727386455,13.14
35,2013,1192.789802,330.28083,62.91,96.02541695119746,13.74
35,2014,1262.684495,344.715564,72.24,95.98226624153735,15.73
35,2015,1331.37609898,364.83100982999997,80.02,95.68916794559783,20.56
36,2010,271.465283,81.506594,58.35,85.86782390176077,12.45
36,2011,290.545839,88.78694,60.1,86.38168587879333,14.95
36,2012,310.385592,96.635331,69.65,89.32296080961281,17.83
36,2013,331.099106,100.195818,63.32,90.22741274931515,18.59
36,2014,349.351228,103.115307,72.94,90.12611943730822,21.07
36,2015,368.37720301999997,109.01280726,69.76,91.41859776872273,26.22
51,2010,93.74935,29.142201,82.36,96.42720829562224,13.13
51,2011,99.991632,33.290009,82.18,96.99952268300926,15.23
51,2012,106.951465,36.322554,86.83,97.77177126667326,18.84
51,2013,114.103581,38.111983,79.92,98.06738029724646,20.17
51,2014,121.787575,38.800143,85.27,98.62978349849114,22.43
51,2015,129.12656221,41.397443700000004,86.61,98.6330234782722,28.78
52,2010,70.122726,19.005303,62.89,94.223833335371,5.8
52,2011,67.379141,20.05285,69.04,94.53998746405938,6.42
52,2012,66.340812,22.00126,68.52,94.77069372710066,7.78
52,2013,69.766714,22.213426,65,94.71981901765172,8.52
52,2014,73.372964,22.950229,76.68,94.70019668710906,10.6
52,2015,89.3379858,25.615716059999997,89.51,95.01754266627789,13.9
53,2010,43.846609,14.015892,58.95,96.51086053491987,3.78
53,2011,46.334128,14.723677,57.92,97.23837949390953,4.12
53,2012,48.863188,15.844365,59.96,97.46855739840657,5.67
53,2013,51.505189,17.614838,64.85,97.88124140987559,6.65
53,2014,54.107974,22.195978,71.86,98.03182052405339,7.52
53,2015,56.77079326,24.832316679999998,75.54,96.87775913643083,10.01
61,2010,86.065855,26.70874,57.55,94.50311424914432,7.99
61,2011,90.797591,30.026171,52.75,94.76802876666075,8.27
61,2012,96.161928,32.320292,52.57,96.5796406939405,9.51
61,2013,101.980339,33.044477,59.02,96.86578554604354,9.3
61,2014,107.114963,36.145685,65.72,97.472390411089,11.45
61,2015,112.34675519,38.20524907,81.88,95.22474256377373,16.14
62,2010,56.531024,24.129344,57.61,96.1189342168841,8.96
62,2011,60.492928,26.77039,58.32,96.16593457514105,9.77
62,2012,64.649165,28.652114,60.65,97.27360909903783,11.73
62,2013,69.410986,29.743665,58.85,98.19208983421005,12.72
62,2014,73.724523,31.910246,67.74,97.29236958734383,15.2
62,2015,78.89096835,34.049498899999996,70.7,96.86047965045188,19.82
63,2010,85.304998,18.914905,55.75,94.11269815403622,11.76
